item_id,date,description,engine,km,link,location,name,price,year
20698119,10.08.2017,"
Alle Prämien sind bei diesem Fahrzeug schon abgezogen!PERSÖNLICH. KOMPETENT. FÄSSZINIEREND.Ausstattung:AlufelgenElektrische SitzverstellungParkhilfeHardtopSitzbezug Leder...
",Essence,16000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/bmw-440i-cabriolet-xdrive-m-sport-steptronic--20698119.aspx?view=2&pi=8101&fcid=113&pr=1,Appenzell,BMW 440i Cabriolet xDrive M Sport Steptronic,69900.0,2018
20698105,10.08.2017,"
Farbe Kaikoura Stone, Leder EbonyAusstattung:AlufelgenElektrische SitzverstellungSitzbezug LederEingebautes NavigationssystemSchiebedachSitzheizungStabilitätskontrolleT...
",Diesel,250,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/land-rover-range-rover-velar-d-300-se-automatic--20698105.aspx?view=2&pi=8101&fcid=113&pr=1,Stäfa,LAND ROVER Range Rover Velar D 300 SE Automatic,103900.0,2018
20697962,10.08.2017,"
1. Hand AutoEigenschaften:Ab MFK
",Essence,112000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/audi-coup%c3%a9-20-gt-5s--20697962.aspx?view=2&pi=8101&fcid=113&pr=1,Richterswil,AUDI Coupé 2.0 GT 5S,12500.0,1981
20697560,10.08.2017,"
Neue Schmiedemotor mit verstärkte Kolben, Pleuel, Bolzen, uswJ-SPEC PERFORMANCE Power Kit mit Strassenzulassung 370+PS/510Nm mit Auspuffanlage und LuftfilterSpezielle Turbolader für ...
",Essence,1000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mitsubishi-lancer-evo-x-gsr-j-spec-perf-370--20697560.aspx?view=2&pi=8101&fcid=113&pr=1,Quartino,MITSUBISHI Lancer Evo X GSR J-SPEC PERF 370+,27500.0,2009
20686540,09.08.2017,"
Very nice Austin-Healey 100/6 Convertible for sale.1958117 HP (86 KW)2639 ccmAwesome ""Florida-Green/Mahagony"" - another 100/4 here on Anibis for 129k CHF says, there is o...
",Essence,7000,"https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/austin-healey-100-6,-1958,-7'000-km--20686540.aspx?view=2&pi=8101&fcid=113&pr=1",Lausanne,"Austin-Healey 100/6, 1958, 7'000 km",79900.0,1958
20684598,09.08.2017,"
Fahrzeug steht an der Bernstrasse 242, 4852 Rothrist.Fahrzeugeintausch/ Ankauf möglichWird frisch ab MFK verkauftAusstattung:AlufelgenSitzbezug LederSitzbezug Teil-LederEig...
",Essence,98200,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/porsche-boxster-25--20684598.aspx?view=2&pi=8101&fcid=113&pr=1,Vordemwald,PORSCHE Boxster 2.5,9950.0,1998
20684447,09.08.2017,"
Winter-Räder sind nicht im Preis inklusive. 4 zusätzlich Alu-Winterkomplett-Rräder in 16 Zoll kosten Fr. 1'050.-- zusätzlich.***auch in Indumgrau auf Lager!*** gute Ausstattung mit Nav...
",Diesel,1,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/vw-caddy-20-tdi-trendline-4m--20684447.aspx?view=2&pi=8101&fcid=113&pr=1,Wattwil,VW CADDY 2.0 TDI Trendline 4m,31900.0,2019
20684287,09.08.2017,"
Fahrzeug-Standort:BELWAG Bern-BümplizBernstrasse 563018 BernTelefon: 031 996 15 15BELWAG BERN. Ein heisses Angebot! Vorführwagen, Single, sucht... Fahrer.Ausstattung:Alufel...
",Diesel,19500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mazda-6-sw-22d-150-4x4-ambition--20684287.aspx?view=2&pi=8101&fcid=113&pr=1,Bern,MAZDA 6 SW 2.2D/150 4x4 Ambition,27400.0,2018
20684281,09.08.2017,"
Fahrzeug-Standort:BELWAG Bern-BümplizBernstrasse 563018 BernTelefon: 031 996 15 15BELWAG BERN. Vorführwagen, Single, sucht... Fahrer.Ausstattung:AlufelgenElektrische Sitz...
",Diesel,10500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mazda-3-22d-150-revolution--20684281.aspx?view=2&pi=8101&fcid=113&pr=1,Bern,MAZDA 3 2.2D/150 Revolution,25200.0,2018
20684246,09.08.2017,"
mit navi und  rückfahrkamera lenkradheizung und sitzheizungparksensoren hintenetc.der neue kia picanto ist da mit 7 jahre werksgarantie / jetzt probefahrenAusstattung:Alufelg...
",Essence,10000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/kia-picanto-12-cvvt-gt-line--20684246.aspx?view=2&pi=8101&fcid=113&pr=1,Neuhaus,KIA Picanto 1.2 CVVT GT-Line,16500.0,2017
