item_id,date,description,engine,km,link,location,name,price,year
28421259,28.03.2019,"
Top gepflegter VW Polo Guten Zustand  Ab Service Frisch MFKAusstattung:AlufelgenIsofixSportsitzeSitzbezug StoffEigenschaften:Ab MFK
",Essence,182000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/vw-polo-12-12v-sportline--28421259.aspx?view=2&pi=4901&fcid=113&pr=1,Mels,VW Polo 1.2 12V Sportline,3700.0,2005
28421258,28.03.2019,"
Die Imholz Autohaus AG ist eine offizielle Hauptvertretung von Peugeot, Ford, Nissan-Nutzfahrzeuge und Volvo mit Sitz im Kanton Zug. Sie erreichen uns in 25 Minuten ab Zürich oder Luzern...
",Diesel,19000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/volvo-xc60-20-d4-momentum-awd--28421258.aspx?view=2&pi=4901&fcid=113&pr=1,Cham,VOLVO XC60 2.0 D4 Momentum AWD,47800.0,2018
28421257,28.03.2019,"
Zzgl. CHF 450.00 Ablieferungspauschale, diese beinhaltet: Abnahme, Nummernschildhalter, Versicherungs-Nachweis, Einlösung, Tankfüllung, Bodenteppiche, Vignette, Pannendreieck, Reinigung,...
",Diesel,1,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/alfa-romeo-giulia-22-jtdm-210-at-q4-veloce--28421257.aspx?view=2&pi=4901&fcid=113&pr=1,Winterthur,ALFA ROMEO Giulia 2.2 JTDM 210 AT Q4 Veloce,39900.0,2019
28421252,28.03.2019,"
Ausstattung:AlufelgenParkhilfeManuelle KlimaanlageSitzbezug LederEingebautes NavigationssystemSchiebedachSitzheizungStabilitätskontrolleTempomatFreisprechanlageIsof...
",Hybride,7500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/bmw-i3-94ah-range-extender--28421252.aspx?view=2&pi=4901&fcid=113&pr=1,Ringgenberg,BMW i3 (94Ah) Range Extender,44500.0,2018
28421249,28.03.2019,"
Ausstattung:AlufelgenEingebautes NavigationssystemSitzheizungStabilitätskontrolleTempomatDistanzreglerFreisprechanlageIsofixKurvenlichtSportsitzeStart-/Stop-System...
",Essence,1,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/ford-focus-station-wagon-10i-ecob-125-active--28421249.aspx?view=2&pi=4901&fcid=113&pr=1,Näfels,FORD FOCUS Station Wagon 1.0i EcoB 125 Active,31550.0,2019
28421243,28.03.2019,"
zu verkaufen von PrivatAusstattung:AlufelgenEingebautes NavigationssystemSitzheizungStabilitätskontrolleTempomatXenon-ScheinwerferFreisprechanlageIsofixKurvenlichtS...
",Essence,19500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/bmw-228i-m-sport-steptronic--28421243.aspx?view=2&pi=4901&fcid=113&pr=1,Ringgenberg,BMW 228i M Sport Steptronic,29500.0,2015
28421241,28.03.2019,"
* Vielen Dank für Ihr Interesse an unseren Fahrzeugen* Wir freuen uns auf Ihren Besuch. * Bitte Telefonische Voranmeldung für Besichtigung und Probefahrt**Top Zustand**Leder** MFK ...
",Essence,177000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/renault-m%c3%a9gane-c-c-20-16v-privil%c3%a8ge-luxe--28421241.aspx?view=2&pi=4901&fcid=113&pr=1,Wangen bei Olten,RENAULT Mégane C-C 2.0 16V Privilège Luxe,4900.0,2007
28421238,28.03.2019,"
Dotazione:Cerchi in alluminioRegolazione elettrica dei sediliSedili in pelleSistema di navigazione integratoControllo della stabilitàRegolatore di velocitàFari xenoIsofix...
",Diesel,63000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/land-rover-range-rover-evoque-22-td4-dynamic--28421238.aspx?view=2&pi=4901&fcid=113&pr=1,Davesco-Soragno,LAND ROVER Range Rover Evoque 2.2 TD4 Dynamic,23900.0,2012
28421229,28.03.2019,"
Ausstattung:AlufelgenElektrische SitzverstellungSitzheizungRückfahrkameraSchlüsselloser Zugang/StartSpurhalteassistentEigenschaften:Ab MFK
",Hybride,20,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/ford-mondeo-station-wagon-20-hev-187-titanium--28421229.aspx?view=2&pi=4901&fcid=113&pr=1,Kägiswil,FORD MONDEO Station Wagon 2.0 HEV 187 Titanium,34900.0,2019
28421221,28.03.2019,"
Motor und Getrieb Sind GutB04 hat noch MFK Ausstattung:Manuelle KlimaanlageIsofixSitzbezug Stoff
",Essence,165000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/honda-jazz-12i-cool--28421221.aspx?view=2&pi=4901&fcid=113&pr=1,Schweizersholz,HONDA Jazz 1.2i Cool,1750.0,2005
28421215,28.03.2019,"
Herzlich Willkommen bei Autohaus Imholz AG in Ebikon! noi parliamo l'italiano! On parle français! We speak english Bei Interesse an diesem tollen Wagen, können Sie sich gerne auf 0...
",Essence,100,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/peugeot-2008-12-puretech-110-signatur--28421215.aspx?view=2&pi=4901&fcid=113&pr=1,Ebikon,PEUGEOT 2008 1.2 PureTech 110 Signatur,25500.0,2019
28421209,28.03.2019,"
Ausstattung:AlufelgenElektrische SitzverstellungSitzbezug LederEingebautes NavigationssystemSchiebedachSitzheizungStabilitätskontrolleTempomatDistanzreglerIsofixBlu...
",Hybride,84000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/volvo-v60-d6-awd-hybrid-summum--28421209.aspx?view=2&pi=4901&fcid=113&pr=1,Aesch,VOLVO V60 D6 AWD Hybrid Summum,24900.0,2015
28421205,28.03.2019,"
Inclus roues hiver jantes aluEquipement:Jantes en aluContrôle de la stabilitéRégulateur de vitesseIsofixSystème start/stopInterface bluetoothClimatisation automatiqueSe...
",Essence,46000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mazda-3-20-16v-ambition-activematic--28421205.aspx?view=2&pi=4901&fcid=113&pr=1,Delémont,MAZDA 3 2.0 16V Ambition Activematic,16500.0,2015
28421204,28.03.2019,"
Fahrzeug wird im Kundenauftrag verkauft, bitte vereinbaren Sie einen Besichtigungstermin. Jede Gewährleistung wird wegbedungen, insbesondere sind Wandelung und Minderung ausgeschlosse...
",Diesel,20990,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/fiat-tipo-sw-16-jtd-lounge-dct--28421204.aspx?view=2&pi=4901&fcid=113&pr=1,Oftringen,FIAT TIPO SW 1.6 JTD Lounge DCT,17990.0,2017
28421197,28.03.2019,"
Sehr günstige Leasingmöglichkeiten nach Ihrem Bedarf, wir beraten Sie gerne***Unfallfrei***fortlaufende Skoda Herstellergarantie bis 26.02.2021, auf Wunsch gegen Aufpreis verlängerbar bi...
",Essence,50,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/skoda-octavia-combi-15-tsi-style-dsg--28421197.aspx?view=2&pi=4901&fcid=113&pr=1,Winterthur-Wülflingen,SKODA Octavia Combi 1.5 TSI Style DSG,27895.0,2019
28421194,28.03.2019,"
Herzlich willkommen!Wir sind ein offizieller Hyundai-Vertriebspartner und danken Ihnen für Ihr Interesse an unseren Fahrzeugen und Dienstleistungen. Gerne beraten wir Sie anhand eines ...
",Diesel,100,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/hyundai-kona-16-crdi-vertex-4wd-my19--28421194.aspx?view=2&pi=4901&fcid=113&pr=1,Hinwil,HYUNDAI KONA 1.6 CRDi Vertex 4WD MY19,33650.0,2019
28421189,28.03.2019,"
Ausstattung:Manuelle KlimaanlageStabilitätskontrolleIsofixStart-/Stop-SystemBluetooth-SchnittstelleRückfahrkameraDAB-RadioEigenschaften:Ab MFK
",Essence,50,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/toyota-aygo-10-vvt-i-trend--28421189.aspx?view=2&pi=4901&fcid=113&pr=1,Sevelen,TOYOTA AYGO 1.0 VVT-i Trend,16490.0,2019
28421186,28.03.2019,"
Ausstattung:AlufelgenEingebautes NavigationssystemSitzheizungTempomatDistanzreglerIsofixBluetooth-SchnittstelleAutomatische KlimaanlageLED-ScheinwerferParksensoren hi...
",Electrique,100,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/nissan-leaf-n-connecta--28421186.aspx?view=2&pi=4901&fcid=113&pr=1,Sevelen,NISSAN LEAF N-Connecta,41580.0,2019
28421184,28.03.2019,"
Ausstattung:AlufelgenElektrische SitzverstellungEingebautes NavigationssystemSchiebedachSitzheizungDifferenzialsperreStabilitätskontrolleTempomatFreisprechanlageIsofi...
",Diesel,1,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/nissan-np300-pickup-navara-23-dci-double-cab-n-guard--28421184.aspx?view=2&pi=4901&fcid=113&pr=1,Sevelen,NISSAN NP300 PICKUP Navara 2.3 dCi Double Cab N-GUARD,40950.0,2019
28421183,28.03.2019,"
Ausstattung:AlufelgenParkhilfeSitzheizungStabilitätskontrolleTempomatDistanzreglerIsofixAutomatische KlimaanlageLED-ScheinwerferParksensoren hintenParksensoren vorn...
",Hybride,1000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/toyota-corolla-18-hsd-trend--28421183.aspx?view=2&pi=4901&fcid=113&pr=1,Sevelen,TOYOTA COROLLA 1.8 HSD Trend,38650.0,2019
28421180,28.03.2019,"
Véhicule propre et sain, pas de rouille.Jolie youngtimer fiable (distribution par chaîne) et très confortable.Couleur BMW Orientblau-metallic, intérieur en velours gris.Jantes BBS ...
",Essence,115000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/bmw-520i-24v-a-abs--28421180.aspx?view=2&pi=4902&fcid=113&pr=1,St-Saphorin-sur-Morges,BMW 520i 24V A ABS,4900.0,1995
28421176,28.03.2019,"
Garanzia del fabbricante, 36 Mesi, o max. 100 000 km   Dotazione:Cerchi in alluminioImpianto di climatizzazione manualeControllo dell...
",Essence,10,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/toyota-aygo-10-vvt-i-limited--28421176.aspx?view=2&pi=4902&fcid=113&pr=1,Mendrisio,TOYOTA Aygo 1.0 VVT-i Limited,16900.0,2019
28421173,28.03.2019,"
Auto aus erster hand Auto steht in Moosburgstr 1 8307 EffretikonAusstattung:IsofixStart-/Stop-SystemEigenschaften:Ab MFK
",Essence,94054,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/ford-ka-125-ambiente--28421173.aspx?view=2&pi=4902&fcid=113&pr=1,Pfäffikon,FORD KA 1.25 Ambiente,4590.0,2013
28421172,28.03.2019,"
Expertisée du jour avec une garantie de 12 mois. Leasing ou financement possible. Frisch Ab MFK mit 12 Monate Garantie.Equipement:Jantes en aluRéglage électrique des siègesSeller...
",Diesel,93700,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/volvo-xc60-d4-awd-husky-edition-geartronic--28421172.aspx?view=2&pi=4902&fcid=113&pr=1,Aigle,VOLVO XC60 D4 AWD Husky Edition Geartronic,23900.0,2014
28421171,28.03.2019,"
Zzgl. CHF 450.00 Ablieferungspauschale, diese beinhaltet: Abnahme, Nummernschildhalter, Versicherungs-Nachweis, Einlösung, Tankfüllung, Bodenteppiche, Vignette, Pannendreieck, Reinigung,...
",Diesel,1,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/alfa-romeo-giulia-22-jtdm-210-at-q4-veloce--28421171.aspx?view=2&pi=4902&fcid=113&pr=1,Winterthur,ALFA ROMEO Giulia 2.2 JTDM 210 AT Q4 Veloce,41900.0,2019
28421170,28.03.2019,"
CH Fahrzeug !! zuzüglich Ablieferungspauschale Fr. 490.-- Limitiert auf 100 Stück in der Schweiz. Sondermodell !! Hammerauto !!Ausstattung:AlufelgenElektrische Sitzverstellung...
",Essence,15,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/hyundai-kona-16-t-gdi-iron-man-edition-4wd-dct--28421170.aspx?view=2&pi=4902&fcid=113&pr=1,Liestal,HYUNDAI Kona 1.6 T-GDi Iron Man Edition 4WD DCT,40800.0,2019
28421164,28.03.2019,"
* Vielen Dank für Ihr Interesse an unseren * Fahrzeugen Wir freuen uns auf Ihren Besuch. * Bitte Telefonische Voranmeldung für Besichtigung und Probefahrt. * Garantiert kein Unfall...
",Diesel,131000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-glc-250-d-4matic-9g-tronic--28421164.aspx?view=2&pi=4902&fcid=113&pr=1,Grenchen (SO),MERCEDES-BENZ GLC 250 d 4Matic 9G-Tronic,30900.0,2015
28421159,28.03.2019,"
Plus de 250 véhicules d'occasions expertisés et garantis toutes marques à Espace Auto Chablais, et 1'300 véhicules dans tous les garages du Groupe Leuba.  Nos prix sont nets et confor...
",Diesel,7900,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-e-350-d-amg-line-4matic--28421159.aspx?view=2&pi=4902&fcid=113&pr=1,Cortaillod,MERCEDES-BENZ E 350 d AMG Line 4Matic,64900.0,2018
28421151,28.03.2019,"
Power & Sound Kit Original von BMW verbaut inkl. DokumentationAusstattung:AlufelgenElektrische SitzverstellungParkhilfeSitzbezug LederEingebautes NavigationssystemSitzheizu...
",Essence,32500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/bmw-340i-gt-xdrive-m-sport--28421151.aspx?view=2&pi=4902&fcid=113&pr=1,Sursee,BMW 340i GT xDrive M Sport,48900.0,2016
28421149,28.03.2019,"
Leistungsoptimierte Auspuffanlage mit Klappensteuerung, Alufelgen 20"", Windschott, Scuderia Ferrari Embleme, Sitzheizung, Drehzahlmesser gelb, usw., Bei Fragen, bitte unter Tel. 079/ 216...
",Essence,37500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/ferrari-california-43-v8--28421149.aspx?view=2&pi=4902&fcid=113&pr=1,Watt,FERRARI California 4.3 V8,112900.0,2013
28421148,28.03.2019,"
* Vielen Dank für Ihr Interesse an unseren * Fahrzeugen Wir freuen uns auf Ihren Besuch. * Bitte Telefonische Voranmeldung für Besichtigung und Probefahrt. * Garantiert kein Unfall...
",Diesel,72000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/skoda-superb-combi-20-tdi-l~k-4x4-dsg--28421148.aspx?view=2&pi=4902&fcid=113&pr=1,Grenchen (SO),SKODA Superb Combi 2.0 TDi L&K 4x4 DSG,26900.0,2016
