item_id,date,description,engine,km,link,location,name,price,year
28923113,04.05.2019,"
Herzlich Willkommen bei der Garage Galliker AG Ebikon Unser kompetentes Team unterstützt  Sie gerne bei der Entscheidung für Ihr Wunsch- Fahrzeug und berät Sie zu den individuellen Fin...
",Essence,100,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/dacia-duster-16-prestige-4wd--28923113.aspx?view=2&pi=3601&fcid=113&pr=1,Ebikon,DACIA DUSTER 1.6 Prestige 4WD,19740.0,2019
28923110,04.05.2019,"
Exterieur: Iridiumsilber met. / Interieur: Leder zweifarbig titangrau Pearl / schwarzTop ausgestattet mit Premium Plus Paket, Head-up-Display, AMG Leder Paket uvm!Ausstattung:Alufe...
",Essence,20,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-a-220-amg-line-7g-dct-4matic--28923110.aspx?view=2&pi=3601&fcid=113&pr=1,Unterentfelden,MERCEDES-BENZ A 220 AMG Line 7G-DCT 4Matic,61500.0,2019
28923109,04.05.2019,"
VEICOLO NUOVO // PREMIO RIPRESA INCLUSO NEL PREZZODotazione:Cerchi in alluminioAiuti al parcheggioSistema di navigazione integratoRiscaldamento dei sediliControllo della stab...
",Essence,1000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/renault-captur-13-t-16v-red-edition-edc--28923109.aspx?view=2&pi=3601&fcid=113&pr=1,Lugano,RENAULT Captur 1.3 T 16V Red Edition EDC,26940.0,2019
28923106,04.05.2019,"
MSI+-GARANTIE   NEUPREIS CHF 70'542.-   - MERCEDES-BENZ ZÜRICH-NORD: DIE NO. 1 FÜR TOP-PREISE!!!Ausstattung:AlufelgenElektrische Sitz...
",Essence,50,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-a-250-amg-line-4matic--28923106.aspx?view=2&pi=3601&fcid=113&pr=1,Zürich-Oerlikon,MERCEDES-BENZ A 250 AMG Line 4Matic,55800.0,2019
28923105,04.05.2019,"
MSI+-GARANTIE   NEUPREIS CHF 77'856.-   - MERCEDES-BENZ ZÜRICH-NORD: DIE NO. 1 FÜR TOP-PREISE!!!Ausstattung:AlufelgenElektrische Sitz...
",Essence,50,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-c-200-amg-line-4matic--28923105.aspx?view=2&pi=3601&fcid=113&pr=1,Zürich-Oerlikon,MERCEDES-BENZ C 200 AMG Line 4Matic,55800.0,2019
28923102,04.05.2019,"
MSI+-GARANTIE   NEUPREIS CHF 105'995.-  - MERCEDES-BENZ ZÜRICH-NORD: DIE NO. 1 FÜR TOP-PREISE!!!Ausstattung:AlufelgenElektrische Sitz...
",Essence,1000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-c-43-amg-4matic--28923102.aspx?view=2&pi=3601&fcid=113&pr=1,Zürich-Oerlikon,MERCEDES-BENZ C 43 AMG 4Matic,79800.0,2019
28923101,04.05.2019,"
MSI+-GARANTIE   NEUPREIS CHF 61'770.-   - MERCEDES-BENZ ZÜRICH-NORD: DIE NO. 1 FÜR TOP-PREISE!!!Ausstattung:AlufelgenManuelle Klimaan...
",Essence,50,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-cla-200-amg-line--28923101.aspx?view=2&pi=3601&fcid=113&pr=1,Zürich-Oerlikon,MERCEDES-BENZ CLA 200 AMG Line,44800.0,2019
28923100,04.05.2019,"
MSI+-GARANTIE   NEUPREIS CHF 63'180.-   - MERCEDES-BENZ ZÜRICH-NORD: DIE NO. 1 FÜR TOP-PREISE!!!Ausstattung:AlufelgenManuelle Klimaan...
",Essence,50,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-cla-200-amg-line--28923100.aspx?view=2&pi=3601&fcid=113&pr=1,Zürich-Oerlikon,MERCEDES-BENZ CLA 200 AMG Line,45800.0,2019
28923097,04.05.2019,"
Ausstattung:DifferenzialsperreStabilitätskontrolleStart-/Stop-SystemExtras:8-fach bereift
",Diesel,265000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/land-rover-range-rover-sport-36-tdv8-autobiography-automati--28923097.aspx?view=2&pi=3601&fcid=113&pr=1,Berthoud,LAND ROVER Range Rover Sport 3.6 TDV8 Autobiography Automati,13500.0,2010
28923092,04.05.2019,"
*AKTIONSPREIS: CHF 29'950 *2019er Version  *Ledersitze *Schiebedach *Navigationssystem *Head-Up Display*Sitzbelüftung*Totwinkelassistent*Schiebedach *Spurhalteassiste...
",Essence,1,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/hyundai-kona-16-t-gdi-luxury-2019-4wd--28923092.aspx?view=2&pi=3601&fcid=113&pr=1,Villmergen (Wohlen AG) ,HYUNDAI Kona 1.6 T-GDi Luxury 2019 4WD,29950.0,2019
28923091,04.05.2019,"
*AKTIONSPREIS: CHF 29'950 *2019er Version  *Ledersitze *Schiebedach *Navigationssystem *Head-Up Display*Sitzbelüftung*Totwinkelassistent*Schiebedach *Spurhalteassiste...
",Essence,1,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/hyundai-kona-16-t-gdi-luxury-2019-4wd--28923091.aspx?view=2&pi=3601&fcid=113&pr=1,Villmergen (Wohlen AG) ,HYUNDAI Kona 1.6 T-GDi Luxury 2019 4WD,29950.0,2019
28923090,04.05.2019,"
Schweizer Fahrzeug mit 1. Inverkehrsetzung 11.2015 - Modell 2016!Gratisservice 10 Jahre / 100'000 KmGarantie 12 Monate AGVS Garantie ab Übernahme   Auf Wunsch mit Winterräder, 1...
",Diesel,69800,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/jeep-grand-cherokee-30-crd-limited-automatic--28923090.aspx?view=2&pi=3601&fcid=113&pr=1,Hendschiken,JEEP Grand Cherokee 3.0 CRD Limited Automatic,34800.0,2016
28923088,04.05.2019,"
MSI+-GARANTIE   NEUPREIS CHF 62'680.-   - MERCEDES-BENZ ZÜRICH-NORD: DIE NO. 1 FÜR TOP-PREISE!!!Ausstattung:AlufelgenManuelle Klimaan...
",Essence,50,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-cla-200-amg-line--28923088.aspx?view=2&pi=3601&fcid=113&pr=1,Zürich-Oerlikon,MERCEDES-BENZ CLA 200 AMG Line,45800.0,2019
28923087,04.05.2019,"
MSI+-GARANTIE   NEUPREIS CHF 80'787.-   - MERCEDES-BENZ ZÜRICH-NORD: DIE NO. 1 FÜR TOP-PREISE!!!Ausstattung:AlufelgenElektrische Sitz...
",Essence,50,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-c-200-4matic-amg-line--28923087.aspx?view=2&pi=3601&fcid=113&pr=1,Zürich-Oerlikon,MERCEDES-BENZ C 200 4Matic AMG Line,59800.0,2019
28923086,04.05.2019,"
MSI+-GARANTIE   NEUPREIS CHF 61'912.-   - MERCEDES-BENZ ZÜRICH-NORD: DIE NO. 1 FÜR TOP-PREISE!!!Ausstattung:AlufelgenElektrische Sitz...
",Essence,50,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-cla-200-urban--28923086.aspx?view=2&pi=3601&fcid=113&pr=1,Zürich-Oerlikon,MERCEDES-BENZ CLA 200 Urban,42800.0,2019
28923085,04.05.2019,"
Ausstattung:AlufelgenManuelle KlimaanlageSitzheizungDAB-RadioEigenschaften:Ab MFK
",Essence,1,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/vw-up-10-tsi-115-gti--28923085.aspx?view=2&pi=3601&fcid=113&pr=1,Netstal,VW Up 1.0 TSI 115 GTI,21380.0,2019
28923084,04.05.2019,"
Ausstattung:AlufelgenDifferenzialsperreStabilitätskontrolleTempomatIsofixAutomatische KlimaanlageExtras:8-fach bereiftEigenschaften:Ab MFK
",Essence,138000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/vw-golf-vi-variant-14-tsi-trendline--28923084.aspx?view=2&pi=3601&fcid=113&pr=1,Flamatt,VW GOLF VI Variant 1.4 TSI Trendline,6900.0,2010
28923082,04.05.2019,"
Ausstattung:AlufelgenTempomatStart-/Stop-SystemDAB-RadioSpurhalteassistentEigenschaften:Ab MFK
",Diesel,25,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/vw-tiguan-20-tdi-scr-comfortline--28923082.aspx?view=2&pi=3601&fcid=113&pr=1,Netstal,VW TIGUAN 2.0 TDI SCR Comfortline,40500.0,2019
28923081,04.05.2019,"
Ausstattung:AlufelgenEingebautes NavigationssystemSitzheizungStart-/Stop-SystemLED-ScheinwerferDAB-RadioTotwinkelassistentEigenschaften:Ab MFK
",Essence,1,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/vw-t-cross-10-tsi-115-1st-edition--28923081.aspx?view=2&pi=3601&fcid=113&pr=1,Netstal,VW T-CROSS 1.0 TSI 115 1st Edition,32380.0,2019
28923080,04.05.2019,"
Ausstattung:AlufelgenParkhilfeManuelle KlimaanlageEingebautes NavigationssystemSitzheizungStabilitätskontrolleTempomatDistanzreglerFreisprechanlageSportsitzeStart-/...
",Essence,1,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/vw-t-roc-20-tsi-sport-dsg-4motion--28923080.aspx?view=2&pi=3601&fcid=113&pr=1,Netstal,VW T-ROC 2.0 TSI Sport DSG 4motion,41400.0,2019
28923077,04.05.2019,"
 MAGNIFIQUE MERCEDES A 160 NEW, NON FUMEUR, GARANTIE CONSTRUCTEUR 36 MOIS OU 100000KM ET SERVICES INCLUS 10 ANS OU 100000KM !   N'hésitez pas à nous demander une offre. Venez la décou...
",Essence,9700,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-a-160-style--28923077.aspx?view=2&pi=3602&fcid=113&pr=1,Thônex / Genève,MERCEDES-BENZ A 160 Style,29990.0,2018
28923072,04.05.2019,"
carbonschwarz met.Dotazione:Cerchi in alluminioRegolazione elettrica dei sediliAiuti al parcheggioSedili in pelleRiscaldamento dei sediliRegolatore di velocitàRegolatore ...
",Diesel,50,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/bmw-x7-xdrive-m50d-steptronic--28923072.aspx?view=2&pi=3602&fcid=113&pr=1,Bellinzone,BMW X7 xDrive M50d Steptronic,142000.0,2019
28923071,04.05.2019,"
Vor mehr als 45 Jahren als Einzelfirma gegründet, ist die Garage Dutli AG Zürich heute eine Familien-AG, die sich mit ihrer langjährigen Erfahrung amerikanischen Wagen in jeder Hinsicht ...
",Diesel,45800,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/dodge-ram-30-ecodiesel-v6-1500-crewcab-laramie-4x4--28923071.aspx?view=2&pi=3602&fcid=113&pr=1,Zurich,DODGE Ram 3.0 EcoDiesel V6 1500 CrewCab Laramie 4x4,43800.0,2017
28923069,04.05.2019,"
Exterieur: Polarweiss / Interieur: Leder schwarzFortl. Werksgarantie bis: 06.2022 / 100'000 kmMit Night-Paket, Air Body Control, Comand Online uvm!Ausstattung:AlufelgenElektris...
",Essence,3900,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-glc-250-amg-line-4matic-9g-tronic--28923069.aspx?view=2&pi=3602&fcid=113&pr=1,Unterentfelden,MERCEDES-BENZ GLC 250 AMG Line 4Matic 9G-Tronic,69900.0,2019
28923068,04.05.2019,"
CH-Ausführung/ Gratisservice/ Netto inkl. Prämie/ Paket Excellence, Infotainment, Technik u. Assistenz/ Sitzheizung uvm.Ausstattung:AlufelgenParkhilfeManuelle KlimaanlageEingeb...
",Essence,25,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/audi-q2-40-tfsi-sport-quattro-s-tronic--28923068.aspx?view=2&pi=3602&fcid=113&pr=1,Kriens,AUDI Q2 40 TFSI Sport quattro S-tronic,42860.0,2019
28923065,04.05.2019,"
Ausstattung:AlufelgenEingebautes NavigationssystemSitzheizungStabilitätskontrolleTempomatDistanzreglerFreisprechanlageIsofixKurvenlichtSportsitzeStart-/Stop-System...
",Essence,1,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/ford-focus-sw-10i-eb-125-st-line--28923065.aspx?view=2&pi=3602&fcid=113&pr=1,Näfels,FORD FOCUS SW 1.0i EB 125 ST-Line,33250.0,2019
28923061,04.05.2019,"
0.9% leasing oder Barkaufprämie abgezogen               Galvanikapplikation für Bedienelemente, Exklusivleder Nappa Mokka Exklusivnaht/Keder in Kontrast (SW)          ...
",Diesel,10,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/bmw-540d-xdrive-touring--28923061.aspx?view=2&pi=3602&fcid=113&pr=1,Muttenz,BMW 540d xDrive Touring,111400.0,2019
28923057,04.05.2019,"
Ausstattung:AlufelgenEingebautes NavigationssystemSitzheizungStabilitätskontrolleFreisprechanlageIsofixSportsitzeStart-/Stop-SystemBluetooth-SchnittstelleAutomatische...
",Diesel,62000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/ford-focus-15-tdci-120-red-edition--28923057.aspx?view=2&pi=3602&fcid=113&pr=1,ITTIGEN,FORD FOCUS 1.5 TDCi 120 Red Edition,16970.0,2016
28923055,04.05.2019,"
AUDI    A6 Avant 2.7 V6 TDI  • Immer regelmässig gewartet• Radio CD• 2 Schlüssel mit funk• elek Ausfahrbare  AHK  1700 kg• Tempomat• Klimaautomatik• PDC * Transport ga...
",Diesel,282939,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/audi-a6-avant-27-v6-tdi--28923055.aspx?view=2&pi=3602&fcid=113&pr=1,Altstätten,AUDI A6 Avant 2.7 V6 TDI,5000.0,2005
28923054,04.05.2019,"
CH-Ausführung/ Gratisservice/ Paket Technik, Infotainment, S line u. Assistenz/ Komfortschlüssel/ Glanzpaket/ Leder uvm.Ausstattung:AlufelgenManuelle KlimaanlageEingebautes Navig...
",Essence,25,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/audi-q3-40-tfsi-advanced-quattro-s-tronic--28923054.aspx?view=2&pi=3602&fcid=113&pr=1,Kriens,AUDI Q3 40 TFSI advanced quattro S tronic,57990.0,2019
