item_id,date,description,engine,km,link,location,name,price,year
5027059,26.05.2016,"
einzigartiges Fahrzeug in der Schweiz; geprüft und zugelassen! Wurde vom coupe in ein Cabrio umgebaut. Zustand sehr gut.Mini 1.1Ausstattung:Sitzbezug LederEigenschaften:Ab MFK...
",Essence,99999,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mini--5027059.aspx?view=2&pi=8301&fcid=113&pr=1,Flamatt,MINI,19900.0,1980
5026845,26.05.2016,"
- Leistungssteigerung 500 PS - Tausch / Teilzahlung oder Finanzierung monatlich ab CHF 369.- möglich! ! ! ""Classicdriver""km stand GARANTIERT !!!Ausstattung:AlufelgenSitzbez...
",Essence,38500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/audi-rs6-avant-quattro--5026845.aspx?view=2&pi=8301&fcid=113&pr=1,Zuzwil,AUDI RS6 Avant quattro,34800.0,2002
5026843,26.05.2016,"
Für die Besichtigung der Fahrzeuge NUR mit Terminvereinbarung. Besuchen Sie unsere Facebook Fanpage unter:https://www.facebook.com/elitegaragezuzwil Weitere Fahrzeuge der Elite G...
",Essence,26500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/bmw-x5-46is--5026843.aspx?view=2&pi=8301&fcid=113&pr=1,Zuzwil,BMW X5 4.6is,26800.0,2002
5026800,26.05.2016,"
- Sportauspuff- weisse Zifferblätter- GT3-Alufelgen Für die Besichtigung der Fahrzeuge NUR mit Terminvereinbarung. Besuchen Sie unsere Facebook Fanpage unter:https://www.face...
",Essence,35700,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/porsche-911-carrera-4--5026800.aspx?view=2&pi=8301&fcid=113&pr=1,Zuzwil,PORSCHE 911 Carrera 4,37800.0,1999
5026628,26.05.2016,"
Gepflegtes Fahrzeug mit wenig km. Neu ab Service !! Lederausstattung, Klimaanlage, Radio CD, usw... Garantie: 3 Monate / 3'000 km. Fahrzeug wird beim Verkauf neu vorgeführt. Eintausch / ...
",Essence,51790,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-clk-320-el%c3%a9gance-automatic--5026628.aspx?view=2&pi=8301&fcid=113&pr=1,Liestal,MERCEDES-BENZ CLK 320 Elégance Automatic,9900.0,1999
5025694,26.05.2016,"
Interieur: schwarzExterieur: brillantsilber - CH-Auslieferung- 19' Spezial-Aluräder Für die Besichtigung der Fahrzeuge NUR mit Terminvereinbarung. Besuchen Sie unsere...
",Essence,128800,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/mercedes-benz-s-600-l--5025694.aspx?view=2&pi=8301&fcid=113&pr=1,Zuzwil,MERCEDES-BENZ S 600 L,19800.0,2003
5025001,26.05.2016,"
Für die Besichtigung der Fahrzeuge NUR mit Terminvereinbarung. Besuchen Sie unsere Facebook Fanpage unter:https://www.facebook.com/elitegaragezuzwil Weitere Fahrzeuge der Elite G...
",Hybride,34500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/lexus-gs-450h--5025001.aspx?view=2&pi=8301&fcid=113&pr=1,Zuzwil,LEXUS GS 450h,24800.0,2006
5024886,26.05.2016,"
Exterieur: basaltschwarz métallic Für die Besichtigung der Fahrzeuge NUR mit Terminvereinbarung. Besuchen Sie unsere Facebook Fanpage unter:https://www.facebook.com/elitegaragezu...
",Essence,17500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/porsche-cayenne-turbo--5024886.aspx?view=2&pi=8301&fcid=113&pr=1,Zuzwil,PORSCHE Cayenne Turbo,44800.0,2008
5024849,26.05.2016,"
Fahrersitz schwarz Stoff, hintere Sitzreihe in Leder schwarz mit Mittelarmlehne, Tausch/Teilzahlung oder Leasing ab SFr. 348.-- möglich ""Classicdriver""Capri RS 2600 ""Der echte und w...
",Essence,64600,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/ford-capri-rs-2600--5024849.aspx?view=2&pi=8301&fcid=113&pr=1,Zuzwil,FORD CAPRI RS 2600,34800.0,1971
5024830,26.05.2016,"
Lackierung Georgian Silver, JVC DVD-Navigationssystem, Lederausstattung, Lederdachhimmel, Vordersitze elektrisch verstellbar, elektrische Fensterheber, Aussenspiegel elektrisch verstellb...
",Essence,101500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/bentley-mulsanne-turbo--5024830.aspx?view=2&pi=8301&fcid=113&pr=1,Zuzwil,BENTLEY Mulsanne Turbo,29800.0,1986
