item_id,date,description,engine,km,link,location,name,price,year
27462718,19.01.2019,"
[EL5] Audi connect Notruf & Service inkl. Fahrzeugsteuerung, [GB1] LTE-Unterstützung für Audi phone box, [N1P] Sitzbezüge Leder / Kunstleder mono.pur 550 Kombination S line, [QJ1] Alumin...
",Essence,15,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/audi-q3-40-tfsi-s-line-quattro-s-tronic--27462718.aspx?view=2&pi=6301&fcid=113&pr=1,Kreuzlingen 2,AUDI Q3 40 TFSI S line quattro S tronic,64900.0,2018
27462712,19.01.2019,"
Gerne erstellen wir Ihnen eine persönliche Leasingofferte Für weitere Auskünfte kontaktieren Sie unser Verkaufsberater Stefan Barmet unter 041 444 44 28 Besichtigung nach Absprache, da d...
",Diesel,10000,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/audi-a3-sportback-20-tdi-sport-s-tronic-quattro--27462712.aspx?view=2&pi=6301&fcid=113&pr=1,Perlen,AUDI A3 Sportback 2.0 TDI Sport S-tronic quattro,35650.0,2018
27462702,19.01.2019,"
Gerne erstellen wir Ihnen eine persönliche Leasingofferte Für weitere Auskünfte kontaktieren Sie unsere Verkaufsberater Davide Pontillo unter der Nummer 041 444 44 67 oder Stefan Barmet ...
",Diesel,6500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/vw-tiguan-20-tdi-scr-highline-4motion-dsg--27462702.aspx?view=2&pi=6301&fcid=113&pr=1,Perlen,VW Tiguan 2.0 TDI SCR Highline 4Motion DSG,54950.0,2019
27462699,19.01.2019,"
Garantieverlängerung;4 Jahre/ 80'000KM = Fr. 749.--5 Jahre/100'000KM = Fr. 1649.--Ausstattung:AlufelgenElektrische SitzverstellungSitzbezug LederEingebautes Navigationssyst...
",Essence,12,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/jeep-compass-14-multiair-limited-awd--27462699.aspx?view=2&pi=6301&fcid=113&pr=1,Frenkendorf,JEEP COMPASS 1.4 MultiAir Limited AWD,36300.0,2019
27462697,19.01.2019,"
Garantieverlängerung;4 Jahre/ 80'000KM = Fr. 749.--5 Jahre/100'000KM = Fr. 1649.--Ausstattung:AlufelgenElektrische SitzverstellungSitzbezug LederEingebautes Navigationssyst...
",Diesel,10,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/jeep-grand-cherokee-30-crd-250-trailhawk--27462697.aspx?view=2&pi=6301&fcid=113&pr=1,Frenkendorf,JEEP Grand Cherokee 3.0 CRD 250 Trailhawk,66330.0,2019
27462691,19.01.2019,"
[#F1] BusinessPlus, [0N5] Dynamik Allradlenkung, [9AH] Komfortklimaautomatik 4-Zonen, [F4] vesuvgrau metallic, [PS1] Komfort-Individualkontursitze inSportoptik, [WH] schwarz - schwarz Am...
",Hybride,20,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/audi-a8-50-tdi-quattro-tiptronic--27462691.aspx?view=2&pi=6301&fcid=113&pr=1,Winterthur-Töss,AUDI A8 50 TDI quattro tiptronic,136900.0,2018
27462690,19.01.2019,"
[0E] mythosschwarz metallic, [EL5] Audi connect Notruf & Service inkl. Fahrzeugsteuerung, [GB1] LTE-Unterstützung für Audi phone box, [N1P] Sitzbezüge Leder / Kunstleder mono.pur 550 Kom...
",Essence,7500,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/audi-q3-40-tfsi-s-line-quattro-s-tronic--27462690.aspx?view=2&pi=6301&fcid=113&pr=1,Kreuzlingen 2,AUDI Q3 40 TFSI S line quattro S tronic,53900.0,2019
27462686,19.01.2019,"
Fragen Sie uns nach unseren attraktiven LeasingkonditionenSitzheizung / Parksensoren / NebelscheinwerferAusstattung:SitzheizungStabilitätskontrolleIsofixKurvenlichtStart-/S...
",Essence,10,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/vw-t-roc-10-tsi--27462686.aspx?view=2&pi=6301&fcid=113&pr=1,Buchs SG,VW T-Roc 1.0 TSI,25730.0,2019
27462676,19.01.2019,"
Leasing à 2,9%, remise flotte applicable sous conditionServices 10 ans gratuitsEquipement:Jantes en aluClimatisation manuelleSystème de navigation intégréSièges chauffantsVer...
",Essence,10,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/audi-q3-40-tfsi-s-line-quattro-s-tronic--27462676.aspx?view=2&pi=6301&fcid=113&pr=1,Collonge-Bellerive / Genève,AUDI Q3 40 TFSI S line quattro S tronic,60900.0,2018
27462675,19.01.2019,"
Condition spéciale valable jusqu'au 28 février 2019.Leasing à 2,9%.Offre cumulable avec remise flotteEquipement:Jantes en aluClimatisation manuelleSystème de navigation intégré...
",Essence,10,https://www.anibis.ch//fr/d-automobiles-voitures-de-tourisme--113/audi-q3-40-tfsi-s-line-quattro-s-tronic--27462675.aspx?view=2&pi=6301&fcid=113&pr=1,Collonge-Bellerive / Genève,AUDI Q3 40 TFSI S line quattro S tronic,60900.0,2018
